./input/Dataset_preproc/01_istance_K3_N15_M45_01.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
12,6,1,15,56,4,0,0,4.776078451424837,26966.384682,4.43082272554434,0.3214102486405401
13,10,1,15,57,4,0,0,5.140619970858097,26966.384682,4.43082272554434,0.2978696874115802
14,1,0,15,58,2,0,0,5.52150172367692,8185.128704,3.9130255127030664,0.23057533675652053
15,3,0,15,59,1,0,0,5.864128809422255,6328.32036,3.8012884564343965,0.18583095626498383
./input/Dataset_preproc/01_istance_K3_N15_M45_04.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,43,296,194,161,0.000904,3175.749912,3.5018462947264597,0
1,1,1,15,43,180,162,137,0.46329904720187187,2624.591952,3.4190617927820592,0.5912409915458738
2,3,0,15,44,130,132,112,0.7558220475912094,2133.449235,3.329082313367502,0.5873175901708131
3,11,0,15,45,111,143,119,1.054502073675394,1785.676541,3.2518027931969464,0.4203660696634436
4,9,0,15,46,95,85,70,1.43209508061409,1474.13955,3.1685385981269834,0.4195151798579435
5,13,0,15,47,57,68,56,1.8124935664236546,1034.566712,3.014758500530351,0.39485028945608835
6,8,1,15,48,21,29,24,2.1733550429344177,394.614656,2.596173210925617,0.3913312791913504
7,4,0,15,49,21,29,24,2.565834764391184,394.614656,2.596173210925617,0.38089423955160157
8,15,0,15,50,11,20,17,2.9326215982437134,284.729922,2.4544331091443192,0.3009778723347843
9,7,1,15,51,0,0,0,3.230491079390049,0,0,0.29099597094928153
./input/Dataset_preproc/01_istance_K3_N15_M45_05.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,492,291,237,0.001142,25065.885538,4.399083052155674,0
1,14,0,15,45,374,222,182,0.6318096853792667,24194.495663,4.383716573621375,0.6018061461698764
2,11,0,15,46,281,203,168,1.0179052352905273,22649.239343,4.355053621153049,0.5308490224637015
3,6,0,15,47,238,151,124,1.4502673335373402,18900.752314,4.27647909090956,0.5243948434648227
4,3,0,15,48,150,108,89,1.833399560302496,17332.103024,4.238851261866014,0.49481506971891004
5,13,0,15,49,88,84,70,2.145242165774107,12073.027638,4.081816194835639,0.42648517911577494
6,4,0,15,50,68,63,52,2.53959571570158,11590.509089,4.0641025118641885,0.38089423955160157
7,10,0,15,51,32,45,37,2.868235308676958,7797.075373,3.891931732491775,0.3473614181747711
8,15,0,15,52,12,19,16,3.1859679892659187,287.5218,2.458670778628353,0.3439747112397535
9,8,0,15,53,12,13,11,3.5340178944170475,287.5218,2.458670778628353,0.27805447003530237
10,9,0,15,54,7,12,10,3.902905885130167,179.163907,2.2532505244694567,0.25953404925781953
11,1,0,15,55,5,6,5,4.328332804143429,118.465974,2.0735936294514445,0.24531614360520101
12,12,1,15,56,2,0,0,4.739360228180885,72.600391,1.8609389596626993,0.2163114516414189
13,5,1,15,57,1,0,0,5.091435149312019,52.233729,1.7179510315102393,0.21346881521110114
14,2,0,15,58,0,0,0,5.415839742869139,0,0,0.21180481270703028
./input/Dataset_preproc/01_istance_K3_N15_M45_06.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,15,45,408,243,200,0.001443,19240.859155,4.284224460526375,0
1,14,0,15,45,319,163,134,0.6076538488268852,18643.558849,4.270528817940461,0.7143099657802686
2,12,1,15,46,291,133,109,0.9888929463922977,18524.717234,4.267751587520423,0.6188989847554475
3,11,0,15,47,198,94,77,1.3363771922886372,10855.013049,4.035630349863704,0.46194073589389406
4,6,0,15,48,158,78,63,1.7084199003875256,9182.166968,3.9629451856878717,0.43823366827340654
5,8,1,15,49,106,33,26,2.1348867639899254,5099.648846,3.707540272275391,0.3913312791913504
6,9,1,15,50,62,32,25,2.528523575514555,2969.311572,3.4726557708196113,0.38869318636147243
7,5,1,15,51,18,17,14,2.956141609698534,1718.002468,3.2350237833823083,0.35973448489278154
8,13,0,15,52,8,0,0,3.3172397576272488,877.728845,2.9433603709081297,0.3593137634050404
9,4,0,15,53,4,0,0,3.6889131516218185,393.82397,2.5953021458344065,0.3408410062753111
