./input/Dataset_preproc/14_safe_safe_2_p_t1.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,22,43,320,101,91,0.000508,270688.579524,5.432469933072555,0
1,7,1,22,43,32,0,0,0.5027739442884922,189048.011051,5.276572112568063,0.49038209919230774
2,14,0,22,44,32,0,0,0.8611961752176285,189048.011051,5.276572112568063,0.4701610516952159
3,22,1,22,45,16,0,0,1.153814896941185,160583.391194,5.205700625090841,0.42471589703889484
4,18,0,22,46,0,0,0,1.4291592463850975,0,0,0.41227412192625373
./input/Dataset_preproc/14_safe_safe_2_p_t2.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,38,75,10240,248,219,0.000994,16590601045.6472,10.219862119965264,0
1,7,1,38,75,1024,6,5,0.5411630161106586,15930779084.979141,10.202237015225725,0.49038209919230774
2,14,0,38,76,1024,6,5,0.8800008706748486,15930779084.979141,10.202237015225725,0.4701610516952159
3,31,0,38,77,512,6,5,1.2394964881241322,14463475634.078876,10.160272668292095,0.4539475300274624
4,38,1,38,78,256,6,5,1.578983161598444,12921512392.494799,10.111313348432645,0.4466945815585674
5,22,1,38,79,256,6,5,1.902935329824686,12921512392.494799,10.111313348432645,0.42471589703889484
6,18,0,38,80,256,6,5,2.254392236471176,12921512392.494799,10.111313348432645,0.41227412192625373
7,17,0,38,81,256,6,5,2.5590880773961544,12921512392.494799,10.111313348432645,0.40875413477325
8,3,0,38,82,256,6,5,2.97792749106884,12921512392.494799,10.111313348432645,0.38657427321789845
9,28,0,38,83,0,0,0,3.221054282039404,0,0,0.3858683845605222
./input/Dataset_preproc/14_safe_safe_2_p_t3.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,54,107,327680,366,322,0.001295,31000241952846.918,13.491365083459312,0
1,48,1,54,107,163840,351,310,0.5023777447640896,30551935021950.86,13.485038721705985,0.49277989280535256
2,7,1,54,108,16384,14,11,0.8886794745922089,4574378188423.517,12.660332067213394,0.49038209919230774
3,39,1,54,109,16384,14,11,1.2905120998620987,4574378188423.517,12.660332067213394,0.47208000910193987
4,14,0,54,110,0,0,0,1.5980238914489746,0,0,0.4701610516952159
./input/Dataset_preproc/14_safe_safe_2_p_t4.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,70,139,10485760,509,450,0.001781,2.452891190045777e+16,16.38967828338339,0
1,48,1,70,139,1048576,48,40,0.534824900329113,392174807556075.5,14.593479692108957,0.49277989280535256
2,7,1,70,140,0,0,0,0.8308696709573269,0,0,0.49038209919230774
./input/Dataset_preproc/14_safe_safe_2_p_t5.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,86,171,335544320,637,558,0.002313,5.930056550724499e+18,18.773058834941075,0
1,48,1,86,171,33554432,46,37,0.5821832753717899,3.698958554796625e+17,17.568079465264038,0.49277989280535256
2,75,0,86,172,16777216,46,37,0.9280930906534195,3.6392972877100096e+17,17.56101753377762,0.4919353966524916
3,7,1,86,173,0,0,0,1.1910396181046963,0,0,0.49038209919230774
./input/Dataset_preproc/14_safe_safe_2_p_t6.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,102,203,10737418240,766,681,0.003357,3.1767109220597365e+24,24.501977696203802,0
1,92,1,102,203,5368709120,705,619,0.5313768461346626,3.1619663625312073e+24,24.499957245531427,0.4976792410170087
2,48,1,102,204,4831838208,480,418,0.898654468357563,3.1103764672289927e+24,24.492812957433664,0.49277989280535256
3,75,0,102,205,2415919104,472,412,1.2348544672131538,3.060199284182553e+24,24.48574970922756,0.4919353966524916
4,7,1,102,206,268435456,28,21,1.658256120979786,6.865261131210265e+21,21.83665706097362,0.49038209919230774
5,88,0,102,207,134217728,28,21,2.0592481680214405,6.565994349138154e+21,21.817300504628598,0.4782042681004797
6,39,1,102,208,0,0,0,2.3509968370199203,0,0,0.47208000910193987
./input/Dataset_preproc/14_safe_safe_2_p_t7.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,118,235,343597383680,988,861,0.003201,1.8789513296262907e+28,28.273915530739966,0
1,92,1,118,235,171798691840,901,786,0.5325574614107609,1.8713093850830602e+28,28.272145595691605,0.4976792410170087
2,48,1,118,236,17179869184,49,37,0.9783063195645809,2.714804529257914e+27,27.433738565077437,0.49277989280535256
3,75,0,118,237,17179869184,49,37,1.3273544237017632,2.714804529257914e+27,27.433738565077437,0.4919353966524916
4,7,1,118,238,8589934592,35,26,1.6971329227089882,2.6304685032031535e+27,27.420033105993674,0.49038209919230774
5,88,0,118,239,4294967296,28,21,2.121009584516287,2.619633756225988e+27,27.418240578049414,0.4782042681004797
6,39,1,118,240,0,0,0,2.360228516161442,0,0,0.47208000910193987
./input/Dataset_preproc/14_safe_safe_2_p_t8.cnf
p,var,value,nb_vars,nb_cls,MC,edge_count,node_count,time,WMC,logWMC,obj
0,-1,-1,134,267,10995116277760,1101,962,0.003228,3.717539900681499e+30,30.570255638539734,0
1,119,0,134,267,5497558138880,1086,949,0.4809517040848732,3.7056720344788157e+30,30.568866980034453,0.49865596771283965
2,92,1,134,268,549755813888,134,113,0.8248862996697426,3.6925896803804026e+30,30.567331051640423,0.4976792410170087
